Subcategory,Audio Name,Questions,Concerns,Emotions,Preferences
All,96d385e8301a865e65668e44017517cr.mp3,"['Are there any corner flats available?', 'Currently, on which floor is the apartment available?', 'Total how many floors does the building have?']",['Customer expresses concern about being asked to visit the site for complete information despite already knowing some details.'],"[""There is a hint of frustration in the customer's tone when expressing that they have already visited the site but are still being asked to visit for complete information.""]","['The customer seems interested in specific square feet areas like 1980, 2210, and 2220.']"
All,a71f34dd483a8f25d643228789d2179j.mp3,"['Can I pay 20% initially and the remaining 80% in EMIs?', 'What are the payment options?']",['Details about the project'],['Customer appears satisfied with the information provided'],"['Interest in the location and features of the apartment project', 'Interest in visiting the site for more information']"
All,6fef95140032e4c8e68d70cb82b717b5.mp3,"['Can you tell me your direct number?', 'Are you looking for something on a lower floor or a higher floor?', 'Which face are you looking for in the unit?']","[""I don't want anything on the East side""]","['The customer seems interested and engaged in understanding the project details and pricing', 'The customer appears cautious and attentive towards the details provided by the agent', ""There is a sense of deliberation and consideration in the customer's responses""]","['The customer prefers a unit on a higher floor with a specific orientation', 'The customer values clear communication and understanding of the unit availability', 'The customer is interested in receiving detailed floor plans and pricing information before making a decision']"
All,1b13004e84b673b4a38ebbd3bca417ai.mp3,['What are the things included and excluded in the project?'],['Customer seems concerned about the location of the project and its availability of flats on specific levels.'],"[""There is a sense of urgency in the customer's tone while discussing the availability of flats and the schedule for the virtual meeting.""]","['The customer expresses interest in booking a slot for the virtual meeting to get clarification on the project details.', 'Customer prefers to have the reminder call scheduled for Friday before the virtual meeting on Saturday for convenience.', 'The customer prefers to have a virtual meeting with the site manager due to being away from India.']"
All,1685702837.1134282.mp3,['Which facings flats are available in your plan?'],['Customer asked about the facings of the available flats'],"['Customer appears interested in the property details and pricing', 'Customer seems curious and engaged in the conversation by asking multiple questions']","['Customer prefers detailed information on the available facings and total cost', 'Customer is interested in knowing about the delivery period and construction progress of the property']"
All,1686720789.604045.mp3,['Is it a gated community?'],['Concern about the location premium and appreciation of the property'],"['Overall, the customer appears to be evaluating the project carefully and considering various factors before making a decision', 'The customer expresses a level of trust in the builder and the project based on their previous interactions and bookings', 'There is a tone of curiosity and eagerness to know more about the project details and offerings']","['Preference for gated community living with open spaces', 'Interest in the amenities provided in the project such as guest rooms, indoor games, walking track, etc.', 'Preference for projects with good location premium and potential for appreciation', 'Interest in the pricing and budget details of the project']"
All,1681452342.778856.mp3,"['Where are you looking sir?', 'How many floors are there?']",['Location proximity concerns'],"['Satisfaction and politeness in interactions', 'Curiosity in exploring the available options and rates']","['Interest in investment opportunities', 'Preference for high-rise gated communities']"
All,2fa3c88bc54e994f1ff2153348f917cb.mp3,['What does your position have in mind for such projects?'],['Uncertainty about the site visit'],['Confusion about the project locations'],['Willing to explore other project locations']
All,d80baf4fb6d15739c46073df8bcb17cq.mp3,"[""You'll like a promotions or something right why so much high?"", 'Can You tell me those detail?']",['Promotions and pricing'],['Interested'],['Interested in location details and construction progress']
All,51c101a3e5d6b736215cec21ff4d1797.mp3,"['How long does a Terrace Floor target last?', 'What do they give us?']","['Concern about the payment for M&A and development', 'Concern about the duration of Terrace Floor completion']",['There is a sense of urgency and concern about the timelines and payments involved in the project.'],['The customer prefers to receive detailed information and explanations regarding the financial aspects of the property investment.']
All,1685685924.1020252.mp3,['Can you guide me about the investment being better or the land?'],['Concern about the timing of the flat being cashed in the market'],['The customer expresses hope and readiness for future plans and investments'],['Preference for clarity on the timing of the flat being cashed in the market']
All,0db5ec5ba188d59ea5d0c2e4765417b6.mp3,"['When is the due date for the property?', 'Is the pricing for the property fixed or negotiable?', 'When will be the possession date of the property?']","['Seeking information about the property', 'Clarification on pricing and negotiation terms']",['Curious and inquiring about property details'],['Requesting for additional information on premium partners']
All,328537d41c1429bb3786779befbd178j.mp3,['Do you have an idea about the ASBL Spectra?'],['Customer cannot visit the sales office as they are outside India.'],"['Customer is understanding about the delay in launch due to excavation.', 'There is a slight confusion regarding sharing details without the project being launched.', 'There is a sense of anticipation regarding the handover date.']","['Interest reimbursement is a key preference for the customer during construction.', 'The customer prefers to schedule a video call for further discussion.']"
All,1683014495.1846611.mp3,"['How can income increment impact loan eligibility?', 'What are the sources of revenue apart from the current income?', ""How many years has the customer's father been working in the IT field?"", ""How much does the customer's father earn per year?""]","[""Lack of clarity on father's income stability"", ""Uncertainty about father's contribution to income""]","['Uncertainty about the stability of income sources', 'Confusion about loan eligibility criteria and processes', ""Anxiety about father's income stability and its impact on loan eligibility""]","['Preference for clear information on income sources and stability', 'Interest in exploring how income increment can enhance loan eligibility', 'Interest in understanding loan eligibility criteria and funding limits']"
All,1684488091.980635.mp3,"['Where do you live?', 'How many flats do you have?', 'How much is the base Price?', 'What is your expectation for it when the business opens?']",['How does the supermarket tie-up all of them?'],"['Appreciation and satisfaction towards the information provided by the agent.', 'Expectation for offers or discounts on the property.', 'Interest in the special features and concepts of the apartments.']","['Preference for interest reimbursements and loan payment options.', 'Interest in the balcony concept and sizes of rooms.', 'Preference for high floors with sunrise and sunset views.']"
All,48563c91ceb70c58e0caed97f46917ad.mp3,['What are the flat sizes?'],"['Concern about down payment percentages and repayment schedule', 'Concern about possession date and completion timeline']",['The customer appears to be thoughtful and considering various aspects before making a decision'],"['Customer expresses interest in visiting the property if everything is satisfactory', 'Customer prefers to have a clear understanding of possession dates and project details before proceeding']"
All,81e8f9f48a451631f864b1bb91e217ad.mp3,['How many units are there in the 3BHK category?'],['Understanding of included amenities'],"['The customer seems interested in the project details and is seeking clarity on various aspects like registration charges, amenities, project completion date, payment process, and negotiation options.']","['Interest in knowing the included amenities like bike parking, car parkings, swimming pool, gym, cycling, jogging track, etc.']"
All,bc66a9a766444ea89237084f30861791.mp3,"['What is the status of the apartment?', 'Can you send me the available flats in both West Side 1817 towers?']","['Concern about the apartment availability and decision-making', 'Concern about the suggestion for selecting the right apartment tower']","['The customer seems interested and engaged in the conversation, asking relevant questions and seeking clarification on various aspects.']","['Interest in receiving suggestions for selecting the right apartment tower', 'Preference for effective communication through WhatsApp for further interaction']"
All,7116852fb781885db465a60f0f6c1781.mp3,"['I am looking for a ready-to moving or future also upcoming projects, do you have those?']","['Customer is concerned about the location of the project.', 'Customer is concerned about the completion date of the project.']","['The customer appears to be focused on specific details such as pricing, balconies, and completion date.']","['The customer prefers ready-to-move or upcoming projects for consideration.', 'The customer prefers to know about the upcoming projects in addition to the current one being discussed.']"
All,1684474754.899294.mp3,"['Can you explain the opportunities inside 2BHK-GBS2 and the pricing for that?', 'When will be the occupation?']",['Customer was concerned about the base price and the progress of the project.'],['Customer seems interested in the project details and opportunities available.'],['Customer preferred to receive details over email or through WhatsApp.']
All,9b2e91aba1abd6cb54dce2d0a8e5179a.mp3,['What is on the right and left sides of Tower A?'],"['Confusion regarding the availability of specific unit numbers on different floors.', 'Inquiry about the proper communication and understanding between parties due to language barrier.']",['Confusion and frustration due to the unavailability of desired unit numbers.'],"['Preference for high-rise buildings and desire to know more about the surroundings.', 'Preference for units in Tower A or Tower B with specific numbers like 2 or 9 series.', 'Interest in specific unit numbers on higher floors like 42nd floor and 45th floor.']"
All,ce535a0362e46630c0a3a392db5d17c1.mp3,"['What exactly is included in the offer?', 'Is there a specific rate for different floors in the building?', 'Are the balconies as big as a room?']","['Clarification on pricing based on different floors in the building', 'Availability of model flat for viewing']",['Interest in visiting the model flat for viewing'],"['Preference for clarity on pricing based on different floors in the building', 'Interest in understanding the details of the offer and interest payment']"
All,eac930245dfa686cd278dc7fccf517a3.mp3,"['What time should the appointment be booked for the visit?', 'Which particular date is suitable for a visit between 16th and 20th of this month?', 'When is a good day and time to book a slot for a visit to the ASBL Spectra project?']",['Clarification on the available unit sizes at ASBL Spectra project'],['The customer expresses gratitude for the assistance provided'],['Interest in the details of the project and available unit sizes']
All,1685084565.1005771.mp3,"['Are you planning to have a site visit, sir?']",['Customer seems concerned about the pricing details of the apartment and wants to know the accurate price.'],['The customer shows a level of familiarity with the area and seems to have prior knowledge about the project.'],['The customer prefers to have the appointment for a site visit on the upcoming Saturday.']
All,1682490563.564997.mp3,['How long do you need this time?'],['Concern about the duration needed for a task'],"['The customer seems curious and interested in the property details', 'The customer appears to be inquiring about the time duration for a specific task']",['Interest in knowing the duration required for a task']
All,4350091c8e9352103dc6f7106d22177l.mp3,"['What size apartment are you looking for?', 'Can the pricing for Spectra be discussed?', 'What is the pricing for the different sizes of apartments?']","['Amenities or benefits for Spectra pricing', 'Clarity on benefits of upfront payment', 'Negotiability of pricing', 'Pre-booking or pre-launch offer details', 'Apartment size and pricing details']","['Interest in apartment sizes and pricing', 'Determination to understand pricing and amenities']","['Interested in understanding project location and details', 'Prefers clarity on pricing negotiability and Spectra amenities', 'Prefers clarity on apartment sizes and pricing']"
All,1680865155.847365.mp3,"['When we get to the site, can you show me how the structure looks?']",['Future development of corpus fund'],['Interest in understanding the refund policy'],['Seeing the structure on-site']
All,3dcc77858bb5469bf1ad6cb1343d179q.mp3,['What Is The thickness of this flat?'],['Concern about the availability of flats in Uppal Pocharum and its suitability in terms of location.'],['The customer appears hesitant about the location of the property and its distance from their current residence in Bangalore.'],['Preference for properties in Bangalore for personal living.']
All,387314afa11a591b0a3ed072881617cm.mp3,['When did they come?'],['Clarification on the house size estimate'],['Excitement to visit Nanakram Gurdwara'],[]
All,1682584636.869825.mp3,['What is the grace schedule for this project?'],"['Customer is confused about the construction progress and phases of the project.', 'Customer is seeking information about the completion timeline of the project.', 'Customer seems unsure about the location of the project.']",['The customer seems interested in specific details like room sizes and facing directions of the flats.'],['The customer is looking for specific information about the project before making a decision to purchase.']
All,05ffc24e7a9065de437e8804399817c2.mp3,['When will the project be handed over?'],"['Clarification on the unit sizes available', 'Details about the pre EMI offer']","['The customer is actively engaging with the information provided', 'The customer seems interested in the project details and pricing']",['Expressed interest in the unit sizes available']
All,3c8aa68922c0287de7710ef25a68177k.mp3,['What are the sizes and starting prices for the new project launching in August?'],['Concerns about the budget bracket and property sizes available.'],['Enthusiasm to visit the sales office and discuss property options.'],['Interest in understanding the pre-EMI offer for a home loan.']
All,e7424e3198d11727a8822aba096e179g.mp3,['Do you need that information?'],"['Concern about the configuration and availability of units', 'Limited flats available']","['The customer seems curious and interested in the product details', 'The customer is concerned about the availability and configuration of the units']",['Interested in understanding the product details']
All,42b21b75e1caa7a50fc7c7c77242179e.mp3,"['Will you be opting for a loan or self-funding?', 'What kind of requirements do you have for the flat?', 'How much is the total cost including amenities, is it close to 1.90 or 9?', 'Who are the builders of the project?']",['Interest part payment during under-construction phase'],['The customer seems to be inquisitive and interested in exploring options based on budget and preferences.'],"['Preference for transparent communication and clear details regarding the project.', 'Interest in exploring different locations and amenities before making a decision.']"
All,183e662f79ec8b0b153ca1916ae51797.mp3,"[""Do you have any idea of Pacifica's interest in financial statistics?""]",['Availability of specific floors for the flats'],"['The customer appears to be focused and attentive, making decisions regarding the funding options and floor preferences.']",['Preference for loan funding over self-funding']
All,1681626075.1082396.mp3,"['What is your budget?', 'What all requirements do you have in mind regarding the area of your budget?', 'What is the best price for your project details and pricing?']","['Concern about the budget requirements and area specifications.', 'Customer preference and satisfaction with the deal offered.', 'Market research to understand the price trend and waiting for better deals.', 'Comparing the project with other builders like Prestige and Beverly Hills.']","['Patiently waiting for better offers and analyzing market trends.', 'Comparing different builders and projects to make an informed decision.', 'Showing interest in customer satisfaction and fair deals.', 'The customer seems inquisitive and interested in understanding the project details and pricing.']","['Customer prefers fair deals and is interested in market research for better pricing.', 'Customer prefers to analyze all options before making a purchase.']"
All,1680252308.1524494.mp3,['Can you come over once?'],"['Detailed process of the project', 'Percentage of greenery and amenities in the project', 'Sizes of the units available']",['Interested in investment purpose'],"['Interested in outdoor activities and sports facilities', 'Keen on exploring the amenities and greenery in the project']"
All,38ba9dc20e9dc9609e8bfad2d87317ao.mp3,"['What are the prices for loft and Spectra properties?', 'Are there two properties being discussed?']","['Verification of the group owning the property', 'Verification of the price details for loft and Spectra properties', 'Understanding the layout and size of the apartments']","['There seems to be a sense of eagerness to visit the property and gather more information, as indicated by the inquiries about visiting timings and price details.']","['Preference for communication over WhatsApp for sharing details and contact information', 'Interest in understanding the specifics of the apartment layout, size, and pricing']"
All,1686201523.797234.mp3,"[""What's the question you offer in 3BHK?"", 'What does ASBL full form mean?', 'What do you offer regarding the pre EMI offer?']","['Interest charges for the milestone payments', 'Clarification on the pre EMI offer']",['Interested in knowing about the handover date and progress of the project'],['Interested in potentially visiting the project site and having a meeting at the sales office']
All,42dc1cbd9e8e086377354db3d6ad17cf.mp3,"['What is the rate per square foot?', 'Is the price inclusive of GST, amenity prices, car parking, corporate fund, and maintenance?']",['Concern about the completion timeline for the 30th store'],"['Curious and inquisitive about the details of the property', 'Satisfied with the responses and information provided', 'Seeking clarification on various aspects of the property']",['Interest in knowing the base price per square foot']
All,30f144be412ef07d2d5b86bf4f0817c2.mp3,['Do u think its ok to have such location?'],['Concerned about the size of the apartment not meeting personal requirements'],['Confused about the location and details of the projects'],"['Interested in projects with good amenities', 'Concerned about the location and size of the apartment']"
All,f85edfc60598cc9fbee814cfd47017am.mp3,['How much should be the payment structure?'],"['Uncertainty about the reputation and awareness of the builder', 'Need for clarification on the size of the flat and quality of construction']",['Interest in understanding the reputation of the builder and the quality of construction'],['Interest in flats with good views or facing roads']
All,1679220825.3364070.mp3,['Are they providing roads in between?'],"['Concern about property prices and sizes', 'Concern about the readiness of the property (ready to move or under construction)']",['The customer seems eager and curious about the property details and pricing'],['Interest in specific property sizes and amenities']
All,cb11def02068f4f2997748d9d5c617aj.mp3,['What do i need?'],"['Details on fees and payments', 'Refund process and percentage']","['Satisfaction with the conversation and information provided', 'Interest in commercial and residential properties']","['Interest in EMI offers and loan details', 'Looking for information on property prices and availability']"
All,9e6735de756b236254fb9b05767117c9.mp3,"[""Sir what's all about total number?""]","['Customer may be concerned about the exact location and details of the property.', 'Customer may have concerns regarding the total number of properties available.']",['The customer seems to be inquisitive and interested in gathering detailed information about the property.'],['The customer seems to prefer detailed explanations and visual representations of the property.']
All,1684902583.462799.mp3,['Can you also share the availability of floors?'],['Availability of east facing and west facing units'],['Interested in the floor plans and availability'],['Interested in the availability of different floors']
All,dc4c6da7e6b4ffb11d24ac9b273217ab.mp3,['What about online sales for square feet?'],['Customer concerns about the timing and availability for a visit to the project site.'],"[""There is a sense of urgency and uncertainty in the customer's tone when discussing timing for a site visit, indicating a level of eagerness mixed with a need for confirmation.""]",['The customer prefers to have all the amenities included in the total cost of the property.']
All,1b48fc17d0be05a8a22fe9da153d1793.mp3,['Are you not talking about the final price?'],[],['Customer seems confused about the pricing and communication process'],[]
All,23463ad160b3c01c54d70b1f1b8e179n.mp3,['What is the total area and open space of the project?'],['Lack of facings options due to high demand'],['The customer may feel a sense of urgency due to limited availability'],"['Desire to know about the amenities and construction details', 'Considering a site visit within a week or two']"
All,1687011856.505256.mp3,"['What is the area of the society?', 'What are the charges for each thing?']",['Want to know if the charges are negotiable'],['Satisfied with the information provided'],"['Wants appointment booking for site visit', 'Interested in knowing the details and elevation of the project']"
All,c028b350faee862d031c7034067d177d.mp3,['What are other towers?'],"['Preference for east-facing', 'Availability of lower floors with good views', 'Pre-EMI offers and reimbursement details']","['Confusion about availability and preferences', 'Satisfaction with the reimbursement period']",['Flexible on floor selection based on availability']
All,1683185024.2336428.mp3,"['What about road positioning?', 'What is your closing figure?']","['Land acquisition and boundary issues.', 'Budget constraints and financial implications.']",['Interest in the details of the property and surrounding developments.'],"['Interest in knowing about the pricing and charges.', 'Preference for detailed information on construction status and available floors.']"
All,1684401675.765035.mp3,"['Area is going to remain the same, sir?']",['Analyzing the carpet area and its impact on health'],"['Customer seems thoughtful and discerning in their choices', 'Customer is considering various options and weighing the pros and cons carefully', 'Expresses a desire for specific features and views in the new flat']",['Considering the view options in tower A and tower B']
All,1687776600.221583.mp3,"['Are you looking for a 3-BHK apartment?', 'What are the real estate or building constructions in Spectras?']",['Customer is seeking information regarding the construction progress of specific towers in Spectras.'],"['The customer appears to be interested in potentially investing in real estate and seeking further details for decision-making.', 'The customer seems curious and engaged in gathering information about the property and its amenities.']",['Customer shows interest in real estate investment opportunities at Nivin Estate.']
All,6bcaa1d5be01cb86f07590ccb996179r.mp3,"['Do you want to share your details?', 'Regarding availability or do you want?']","['Skepticism about builders playing games on sales', 'Concern about the availability of units due to high sales percentage']",['Skepticism towards sales tactics of builders'],['Interested in the availability and details of the units']
All,1688303734.1052694.mp3,"['On what days are available for visiting the sales office?', 'On which floors is the availability of flats right now?', 'What are the additional charges apart from the square feet area?', 'How many parking spaces are provided?', 'Is there any flat ready for viewing until the 22nd floor?', 'What are the charges for amenities, car parking, and infrastructure?']",['Concern about the availability of model flat for viewing.'],['The customer seems interested and engaged in the conversation as they provide detailed requirements and ask various questions about the property.'],"['The customer shows interest in the amenities provided and the infrastructure details of the property.', 'The customer prefers to visit the sales office on weekends for property viewing.']"
All,6b51fad8dd3682a8d8b6bccb0d9a17af.mp3,"['Where is the location of the project site?', 'What are the payment terms for the project?']",[],[],['Customer prefers to visit the project site on their own without the need for arranged transportation.']
All,9c96fcfe9347ad9a5f5e44ef11a317b2.mp3,"['Are you aware of the project location?', 'When are you planning to visit the Sheraton location?']","['Customer is concerned about the project location and details.', 'Customer is interested in knowing about the completion date of the project.']","['The customer seems satisfied with the information provided and agrees to consider visiting the location.', 'The customer appears to be considering the options and making decisions about visiting the location.']","['Customer is interested in the specifics of the project like floor count, apartment sizes, and pricing details.']"
All,1682057553.944967.mp3,['What is the type of construction and end product look like for Spire and Spectra?'],"['Comparison between Spectra and Spire in terms of community, amenities, and pricing', 'Availability of lower floor units in Spectra and high units in Spire']","['The customer seems attentive and interested in understanding the details of the properties', 'There is curiosity and eagerness to know about the construction quality and end product appearance', 'Overall, the customer appears engaged and inquisitive during the conversation']","['Considering the rental income potential and future value appreciation in the selected location', 'Interest in negotiating the pricing and exploring options for additional features or benefits']"
All,c3c0c327152a62d6ee4840de9fdb179f.mp3,"['How many floors are there in a tower?', 'Can you share with me the details of Bajat Finance?', 'When will the estimation for handover of these properties be done?', 'What is the rate for finance?']","['Concern about the pricing and affordability within budget constraints', 'Desire for discounts or negotiation on the property price', 'Uncertainty about the promised amenities and features']",['Confusion regarding pricing structure and affordability'],"['Interest in the number of floors in the tower for decision-making', 'Preference for transparent information on finance rates and options', 'Preference for avoiding Bajat Finance and opting for traditional banking']"
All,1680699619.539389.mp3,['What are the sizes of the 3 BHK apartments available?'],['Inquiring about the sizes of the apartments and amenities available.'],"['Customer expresses interest in the amenities and features of the project.', 'Customer shows eagerness to physically visit the site over the weekend.']",['Customer prefers to have a clear understanding of the pricing and payment options available.']
All,1681191141.210732.mp3,"[""Would we have such options here as well where they didn't charge anything for the floor rise and other things?""]","['Customer is interested in properties located in Jyotsi Bali', 'Customer is looking for a property where no other buildings will come up nearby for at least 10 years']",['Customer expresses a preference for properties with specific features like a larger balcony sit out area and an east-facing balcony'],['Customer prefers properties with specific features like a larger balcony sit out area and an east-facing balcony']
All,1684038828.1385108.mp3,['Where is your project location?'],"['Cost of the project and the pre-EMI offer details', 'Understand the location and surroundings of the project']","['Satisfaction with the amenities and open spaces', 'Curiosity about the project location and amenities']","['Desire for good accessibility and proximity to the main highway', 'Interest in knowing about the project location and amenities']"
All,58c2dbbcf16313e433e277890230179n.mp3,['What are the base prices for 2BHK and 3BHK units?'],['Uncertainty about the project details and company origins'],['Anticipation for future meetings and updates on the project'],"['Interest in the amenities like indoor swimming pools, gym, party halls, and outdoor sports facilities', 'Preference for specific unit types like 2BHK or 3BHK']"
All,f817a69357a8ee72a6c7504c88cc17am.mp3,['What is the pricing for the ASBL spectra project?'],['Concern about being ready to move in property by a specific time'],"['Customer shows eagerness in planning and preparing for the relocation of family members', 'Customer shows interest and curiosity in knowing details about the apartments and projects', 'Customer seems concerned about the distance and cost factors']",['Customer prefers to visit the site on November 1st Sunday for the financial district and Kokapet locations']
All,1678790823.2692681.mp3,"['What about floorwise?', 'What is the difference between them?', 'What is the purpose of Corpuses Fund?', 'How much approximately does one km have?']",['Concern about the location specifics'],['Interest in the location details and connectivity'],"['Preference for clear pricing information and breakdown', 'Interest in knowing the location details and connectivity options']"
All,1679725788.3850808.mp3,"['What is the booking process like?', 'When are you planning to be available at the site?']","['Customer concerns about the availability of the agent at the site for further discussions', 'Customer concerns about the position timelines for the construction project', 'Customer concerns about the location of the project site']",['Customer shows interest in the project details and pricing'],"['Customer prefers to visit the site on weekends due to work commitments', 'Customer prefers detailed discussions on options and bank loan processes during the site visit']"
All,d167232a21d31907647f9570b2fe1781.mp3,['What are the details about the soft-launch of the new project?'],['Meeting schedule and arrangements'],['Satisfaction with meeting arrangements'],['Meeting schedule preference for tomorrow at 7 am']
All,3fad0ef1e0df3f008a9e35c3214d178b.mp3,"['What will be the price including amenities and everything?', 'Will bank consider it as a moratorium period or we need to pay interest right from day one even if financial risk?']",['Customer is concerned about the pricing including amenities and other costs'],['The customer seems inquisitive and eager to understand the terms and conditions related to the project and loan options'],['Customer prefers to have detailed explanations and information provided by the sales team before finalizing any decisions']
All,1684134893.70736.mp3,"['So how much of a return comes?', 'What kind of offers are available?']",['Clarification on the type of flat being viewed'],"['Interest in the pricing and negotiation options', 'Satisfaction with the potential return on investment']",['Interest in the construction progress and future plans']
All,3020b55d4d5a3ff6d645022a3d2117br.mp3,['How much size do you want to finalize?'],"['Budget-friendliness of the chosen size of the property.', 'Understanding mortgage units and cash flow for down payment.', 'Down payment requirements and bank loan eligibility.']","['Curiosity: asking about the age of the property and number of floors.', 'Satisfaction: expressed through gratitude towards the end of the conversation.']","['Desire to understand mortgage units and financial implications for a property purchase.', 'Interest in budget-friendly options for property size.']"
All,cdf93d63721abeec2168afd6858d17ci.mp3,['Can hours do your family visit on Saturdays?'],['Customer may be concerned about the construction progress of the project.'],['The customer seems satisfied and appreciative as they express gratitude and plan to visit again.'],"['The customer shows interest in visiting the project site with their family, indicating a preference for family involvement in the decision-making process.']"
All,1680344549.1698565.mp3,['Customer explicitly asked about the location of the project and the name of the project.'],"['Customer showed concern about the additional charges like car parking, infrastructure charges, GST, maintenance, corporate moving charge, and documentation.']",[],['Customer indicated a preference for clear communication and sharing of information.']
All,d7601ec5e0bc3f5b9a073e60df57179d.mp3,['Do you know about Spectra or ASBL Spectras?'],['Concern about the completion date of the project'],['Curiosity about the completion date and project details'],['Preference for locations with HMDA or RERA approval']
All,fe535da58e2ffdc8dd11fe3d1c211777.mp3,"[""What's the score fit rate?""]",['Not having location on the phone for Google Maps'],['Understanding of the sales process and agreements'],['Desire to view brochure and floor plans']
All,9b06d1e254f1afaafe9348e1102117a6.mp3,"['Are there two beds and three bedrooms available?', 'Please also place the location as well.']","['Request for more information on the project and model flat', 'Uncertainty about the pricing and payment structure']",['Interested in exploring the model flat and project location'],['Interest in knowing about the pricing and payment options']
All,a1f69906c0ff06dbbbb6da18fce117a6.mp3,"['Do you use 3BHK apartment for the Financial District?', 'Are these investments or for staying purposes?']",['Query regarding the construction status of the property.'],['There is a sense of curiosity and eagerness to explore options and gather information about the available projects.'],"['Interest in specific sizes of apartments, such as 95 or 80 sq ft.']"
All,035f8423e56b19725157bf016e0d17a7.mp3,"['Okay, so what is like the cost and whatever area?', ""And what area's available?""]",['Available inventory'],['Interest in the cost and available area'],"['Desire to inspect construction quality before making a decision', 'Preference for specific facing of the flat']"
All,1683093964.2015558.mp3,"['What is the area of the project?', 'What are the details about the available units?']","['Negotiation possibilities', 'Interest in exploring the project further']","['Satisfaction with the explanation provided', 'Interest in the available units']","['Interest in specific unit sizes (1980 and 2210)', 'Preference for East-facing units']"
